아파트명,구,동
도곡스타클래스,강남구,도곡동
도곡쌍용예가,강남구,도곡동
도곡우성아파트,강남구,도곡동
도곡월드메르디앙아파트,강남구,도곡동
도곡지웰카운티101동,강남구,도곡동
도곡지웰카운티102동,강남구,도곡동
도곡푸르지오,강남구,도곡동
도곡푸르지오102동,강남구,도곡동
도곡하이빌,강남구,도곡동
도곡현대힐스테이트101동,강남구,도곡동
도곡현대힐스테이트102동,강남구,도곡동
도곡현대힐스테이트103동,강남구,도곡동
도곡현대힐스테이트105동,강남구,도곡동
래미안도곡카운티,강남구,도곡동
럭키(462),강남구,도곡동
럭키(963),강남구,도곡동
로덴하우스웨스트빌리지,강남구,도곡동
로덴하우스이스트빌리지,강남구,도곡동
롯데캐슬모닝,강남구,도곡동
리치아르떼빌,강남구,도곡동
매봉삼성,강남구,도곡동
벨라빌,강남구,도곡동
삼성,강남구,도곡동
삼성래미안,강남구,도곡동
삼익,강남구,도곡동
상지리츠빌카일룸,강남구,도곡동
아카데미스위트1,강남구,도곡동
우성4,강남구,도곡동
우성리빙텔,강남구,도곡동
우성사원5,강남구,도곡동
우성캐릭터199,강남구,도곡동
우성캐릭터빌,강남구,도곡동
울트라멤버스,강남구,도곡동
원팰리스,강남구,도곡동
월드메르디앙101동,강남구,도곡동
이니그마빌-III,강남구,도곡동
조이너스도곡,강남구,도곡동
중명하니빌,강남구,도곡동
타워팰리스1,강남구,도곡동
타워팰리스2,강남구,도곡동
타워팰리스3,강남구,도곡동
파크힐,강남구,도곡동
포스코트,강남구,도곡동
필로스(193-45),강남구,도곡동
하이페리온,강남구,도곡동
한라비발디,강남구,도곡동
한신(개포),강남구,도곡동
한신엠비씨,강남구,도곡동
현대그린1,강남구,도곡동
현대비젼21,강남구,도곡동
현대아이리스1,강남구,도곡동
현대아파트1동~3동,강남구,도곡동
현대오티움,강남구,도곡동
현대향목빌라트,강남구,도곡동
힐데스하임빌라,강남구,도곡동
LG선릉에클라트(A),강남구,삼성동
LG선릉에클라트(B),강남구,삼성동
SM드림빌,강남구,삼성동
강변삼부아파트,강남구,삼성동
골든카운티,강남구,삼성동
그라나다,강남구,삼성동
금호어울림,강남구,삼성동
대우멤버스카운티(101동),강남구,삼성동
대우멤버스카운티201,강남구,삼성동
대우멤버스카운티301,강남구,삼성동
대우멤버스카운티501,강남구,삼성동
동구싼타빌,강남구,삼성동
동일파크스위트,강남구,삼성동
래미안라클래시,강남구,삼성동
래미안삼성1차(103-22),강남구,삼성동
래미안삼성1차(105-0),강남구,삼성동
래미안삼성1차(201동),강남구,삼성동
래미안삼성2차,강남구,삼성동
레미안삼성1차(101동),강남구,삼성동
롯데캐슬프레미어,강남구,삼성동
미켈란107,강남구,삼성동
미켈란147,강남구,삼성동
브르넨삼성,강남구,삼성동
블루밍하우스,강남구,삼성동
삼부아그레빌,강남구,삼성동
삼부아파트(101동),강남구,삼성동
삼부아파트102동,강남구,삼성동
삼성동대성유니드,강남구,삼성동
삼성동드림하우스,강남구,삼성동
삼성동라테라스,강남구,삼성동
삼성동롯데아파트,강남구,삼성동
삼성동롯데캐슬킹덤,강남구,삼성동
삼성동브라운스톤레전드,강남구,삼성동
삼성동센트럴아이파크,강남구,삼성동
삼성동신도브래뉴,강남구,삼성동
삼성동신영지웰,강남구,삼성동
삼성동씨엘케이,강남구,삼성동
삼성동에스케이뷰,강남구,삼성동
삼성동중앙하이츠빌리지,강남구,삼성동
삼성동한솔아파트,강남구,삼성동
삼성동헤렌하우스2(82-1),강남구,삼성동
삼성동헤렌하우스2(82-4),강남구,삼성동
삼성동힐스테이트 1단지,강남구,삼성동
삼성리치빌1,강남구,삼성동
삼성오네뜨,강남구,삼성동
삼성월드타워,강남구,삼성동
삼성웰피아,강남구,삼성동
삼성파크,강남구,삼성동
삼성팰리스(71-16),강남구,삼성동
삼성펠리스,강남구,삼성동
삼성풍림2차아파트,강남구,삼성동
상지리츠빌카일룸(65-4),강남구,삼성동
서광아파트,강남구,삼성동
석탑아파트101동,강남구,삼성동
세방타운하우스,강남구,삼성동
시티(A동),강남구,삼성동
시티(B동),강남구,삼성동
신동아듀크빌,강남구,삼성동
심포니하우스,강남구,삼성동
쌍용플래티넘,강남구,삼성동
아델하우스,강남구,삼성동
아셈,강남구,삼성동
아이파크,강남구,삼성동
아펠바움,강남구,삼성동
엘에이치삼성도시형생활주택,강남구,삼성동
영무예다음,강남구,삼성동
우림루미아트,강남구,삼성동
우정에쉐르,강남구,삼성동
우정에쉐르2,강남구,삼성동
월성빌라트,강남구,삼성동
이안애2차,강남구,삼성동
이안애빌,강남구,삼성동
진흥아파트,강남구,삼성동
채널리저브,강남구,삼성동
청구아파트,강남구,삼성동
포스코트,강남구,삼성동
푸른솔아파트1동,강남구,삼성동
풍림,강남구,삼성동
풍림(1차),강남구,삼성동
한양립스,강남구,삼성동
한일,강남구,삼성동
현대삼성동1차,강남구,삼성동
현대아파트101동,강남구,삼성동
현대타워(13층-27층),강남구,삼성동
현대힐스테이트2단지,강남구,삼성동
호산프라자,강남구,삼성동
홍실아파트,강남구,삼성동
강남데시앙파크,강남구,세곡동
강남신동아파밀리에1단지,강남구,세곡동
강남신동아파밀리에2단지,강남구,세곡동
강남엘에이치1단지,강남구,세곡동
세곡리엔파크(3단지),강남구,세곡동
세곡푸르지오,강남구,세곡동
강남 더샵 포레스트,강남구,수서동
강남데시앙포레,강남구,수서동
까치마을,강남구,수서동
동익,강남구,수서동
삼성,강남구,수서동
삼익,강남구,수서동
수서한아름,강남구,수서동
신동아,강남구,수서동
RudenHouse,강남구,신사동
강남상가,강남구,신사동
금광아크존(635-14),강남구,신사동
뉴현대,강남구,신사동
대성아파트,강남구,신사동
래미안신사,강남구,신사동
로데오현대,강남구,신사동
리갈팰리스,강남구,신사동
신사동닛시빌라트,강남구,신사동
신사동씨티빌,강남구,신사동
신사아이빌(522),강남구,신사동
신사아크존2,강남구,신사동
신사파크빌A동,강남구,신사동
신사파크빌B동,강남구,신사동
신성아파트101동,강남구,신사동
썬-타워빌딩,강남구,신사동
알파임하우스1,강남구,신사동
압구정Ainvill,강남구,신사동
압구정대원칸타빌아파트,강남구,신사동
압구정케이씨씨(622-1),강남구,신사동
압구정하이츠파크,강남구,신사동
우찬,강남구,신사동
유로미아파트A동,강남구,신사동
진흥아마란스,강남구,신사동
청림빌,강남구,신사동
체리빌,강남구,신사동
토미,강남구,신사동
하야트빌,강남구,신사동
현대아인빌,강남구,신사동
미성1차,강남구,압구정동
미성2차,강남구,압구정동
신현대11차,강남구,압구정동
신현대12차,강남구,압구정동
신현대9차,강남구,압구정동
한양1차(영동한양),강남구,압구정동
한양2,강남구,압구정동
한양3,강남구,압구정동
한양4,강남구,압구정동
한양5,강남구,압구정동
한양6,강남구,압구정동
한양7,강남구,압구정동
한양8(81동한개동),강남구,압구정동
"현대10차(201,202동)",강남구,압구정동
현대13차(208~211동),강남구,압구정동
"현대14차(203,204,205,206동)",강남구,압구정동
"현대1차(12,13,21,22,31,32,33동)",강남구,압구정동
"현대2차(10,11,20,23,24,25동)",강남구,압구정동
현대3차(61~64동),강남구,압구정동
현대4차저층(51~56동),강남구,압구정동
"현대5차(71,72동)",강남구,압구정동
"현대6차(78~81,83,84,86,87동)",강남구,압구정동
"현대7차(73~77,82,85동)",강남구,압구정동
현대8차(성수현대:91~95동),강남구,압구정동
현대빌라트,강남구,압구정동
(828-21),강남구,역삼동
Bienestar,강남구,역삼동
EGSoulLeader,강남구,역삼동
e-편한세상,강남구,역삼동
강남서해그랑블,강남구,역삼동
강남센트럴아이파크,강남구,역삼동
강남역우정에쉐르,강남구,역삼동
강남웅진베어스빌,강남구,역삼동
강남한솔,강남구,역삼동
개나리SK뷰,강남구,역삼동
개나리래미안,강남구,역삼동
개나리푸르지오,강남구,역삼동
갤러리아트,강남구,역삼동
갤러리하우스,강남구,역삼동
거평빌라트,강남구,역삼동
경남아너스빌,강남구,역삼동
경일역삼,강남구,역삼동
공간쉐르빌,강남구,역삼동
금호어울림,강남구,역삼동
네스빌(728-10),강남구,역삼동
노블스위트,강남구,역삼동
노블카운티,강남구,역삼동
대림역삼,강남구,역삼동
대명벨리온,강남구,역삼동
대우디오빌,강남구,역삼동
대우디오빌플러스,강남구,역삼동
동부센트레빌,강남구,역삼동
동원스위트뷰역삼,강남구,역삼동
래미안그레이튼,강남구,역삼동
래미안그레이튼(진달래2차),강남구,역삼동
래미안펜타빌,강남구,역삼동
로얄빌리지,강남구,역삼동
로얄팰리스,강남구,역삼동
롯데캐슬노블,강남구,역삼동
리츠빌아파트,강남구,역삼동
리치타워,강남구,역삼동
마이다스힐빌라트,강남구,역삼동
명인갤러리,강남구,역삼동
명인갤러리2차,강남구,역삼동
베스젠빌,강남구,역삼동
브라운스톤역삼,강남구,역삼동
상지리츠빌(1호라인),강남구,역삼동
상지리츠빌(2호라인),강남구,역삼동
상지리츠빌역삼2차,강남구,역삼동
성영forU,강남구,역삼동
세방하이빌1,강남구,역삼동
세종빌라트,강남구,역삼동
시티프라디움더강남101동,강남구,역삼동
시티프라디움더강남201동,강남구,역삼동
쌍용플레티넘밸류,강남구,역삼동
쎄비앙102동,강남구,역삼동
에스케이허브젠,강남구,역삼동
역삼2차아이파크,강남구,역삼동
역삼I'PARK,강남구,역삼동
역삼동골든베리힐,강남구,역삼동
역삼동그린비,강남구,역삼동
역삼동우정에쉐르1,강남구,역삼동
역삼동월드메르디앙,강남구,역삼동
역삼동칼라,강남구,역삼동
역삼동하나빌,강남구,역삼동
역삼디오슈페리움,강남구,역삼동
역삼래미안,강남구,역삼동
역삼르비앙1,강남구,역삼동
역삼센트럴2차아이파크,강남구,역삼동
역삼센트럴아파트,강남구,역삼동
역삼엔스위트1,강남구,역삼동
역삼엔스위트102동,강남구,역삼동
역삼예명,강남구,역삼동
역삼우성,강남구,역삼동
역삼우정에쉐르2,강남구,역삼동
역삼이안애비,강남구,역삼동
역삼이안애에이,강남구,역삼동
역삼자이,강남구,역삼동
역삼카이스아파트,강남구,역삼동
역삼푸르지오,강남구,역삼동
예지인,강남구,역삼동
예지향,강남구,역삼동
요진와이시티미니,강남구,역삼동
우림루미아트1,강남구,역삼동
우림루미아트2,강남구,역삼동
우성빌라트,강남구,역삼동
우정에쉐르3,강남구,역삼동
우정에쉐르멤버스,강남구,역삼동
은하수,강남구,역삼동
이스턴오피스텔,강남구,역삼동
조이너스,강남구,역삼동
지석천평대,강남구,역삼동
진넥스빌2,강남구,역삼동
탑팰리스,강남구,역삼동
테헤란아이파크,강남구,역삼동
트레벨,강남구,역삼동
포스틸빌라트,강남구,역삼동
풍림지오빌,강남구,역삼동
프리마빌,강남구,역삼동
프리빌리지,강남구,역삼동
프리우스역삼101동,강남구,역삼동
프리우스역삼102동,강남구,역삼동
한스빌(836),강남구,역삼동
한양럭스,강남구,역삼동
한화진넥스빌,강남구,역삼동
현대까르띠에710,강남구,역삼동
현대이스트빌,강남구,역삼동
현대하이츠,강남구,역삼동
현대휴먼터치빌,강남구,역삼동
강남한신휴플러스6단지,강남구,율현동
강남한신휴플러스8단지,강남구,율현동
가람,강남구,일원동
개포한신,강남구,일원동
디에이치자이개포,강남구,일원동
디에이치포레센트,강남구,일원동
래미안 개포 루체하임,강남구,일원동
목련타운,강남구,일원동
삼성,강남구,일원동
상록수,강남구,일원동
샘터마을,강남구,일원동
수서,강남구,일원동
우성7,강남구,일원동
푸른마을아파트101동~111동,강남구,일원동
한솔마을,강남구,일원동
현대4,강남구,일원동
강남브리즈힐(토지임대부아파트),강남구,자곡동
강남자곡 힐스테이트,강남구,자곡동
강남자곡아이파크,강남구,자곡동
강남한양수자인(4단지),강남구,자곡동
래미안강남힐즈,강남구,자곡동
래미안포레,강남구,자곡동
PH129,강남구,청담동
강변상지리츠빌,강남구,청담동
골든아트빌,강남구,청담동
구산,강남구,청담동
뉴현대리버빌,강남구,청담동
대우로얄카운티2,강남구,청담동
대우로얄카운티3,강남구,청담동
대우리츠카운티,강남구,청담동
대우멤버스카운티Ⅱ,강남구,청담동
대우유로카운티,강남구,청담동
더갤러리파크,강남구,청담동
동양파라곤,강남구,청담동
라테라스청담,강남구,청담동
래미안청담로이뷰,강남구,청담동
마크힐스웨스트윙,강남구,청담동
마크힐스이스트윙,강남구,청담동
목화,강남구,청담동
범신칼릭스빌,강남구,청담동
빌폴라리스,강남구,청담동
삼성청담공원아파트,강남구,청담동
삼성청담아파트,강남구,청담동
삼호빌라A동,강남구,청담동
삼호빌라B동,강남구,청담동
삼호빌라씨동,강남구,청담동
삼환(101동),강남구,청담동
상지리츠빌4A,강남구,청담동
상지리츠빌4B,강남구,청담동
상지리츠빌5B,강남구,청담동
상지리츠빌6,강남구,청담동
상지리츠빌9차,강남구,청담동
상지리츠빌카일룸2차,강남구,청담동
상지리츠빌카일룸3차,강남구,청담동
신동아,강남구,청담동
신동아빌라트,강남구,청담동
씨티2차(201동),강남구,청담동
씨티2차(202동),강남구,청담동
아노스카운트빌라트,강남구,청담동
에비뉴나인티,강남구,청담동
연세리버빌,강남구,청담동
연세리버빌3,강남구,청담동
연세리버테라스,강남구,청담동
연세빌라(102-6),강남구,청담동
연세청담파크빌,강남구,청담동
연세힐하우스1,강남구,청담동
영풍마드레빌,강남구,청담동
우성아파트,강남구,청담동
이니그마빌,강남구,청담동
이니그마빌2,강남구,청담동
진흥아파트,강남구,청담동
"청담2차이-편한세상(201동,202동,203동)",강남구,청담동
청담2차이-편한세상(204동),강남구,청담동
청담2차이-편한세상(205동),강남구,청담동
청담3차이-편한세상(301동),강남구,청담동
청담4차이-편한세상,강남구,청담동
청담8차상지리츠빌,강남구,청담동
청담CJ빌리지,강남구,청담동
청담건영,강남구,청담동
청담그랑빌,강남구,청담동
청담대림이-편한세상,강남구,청담동
청담대우로얄카운티6차,강남구,청담동
청담대우멤버스카운티10차,강남구,청담동
청담대우멤버스카운티11차,강남구,청담동
청담대우멤버스카운티7차,강남구,청담동
청담대우멤버스카운티8차,강남구,청담동
청담동마크노빌,강남구,청담동
청담동삼성1차(101동),강남구,청담동
청담동현대빌라트,강남구,청담동
청담디에브스아파트,강남구,청담동
청담로얄카운티,강남구,청담동
청담린든그로브,강남구,청담동
청담매스터빌,강남구,청담동
청담범신칼릭스빌2차,강남구,청담동
청담삼익아파트,강남구,청담동
청담스위트,강남구,청담동
청담신원아침도시마인,강남구,청담동
청담아르지움,강남구,청담동
청담아이파크,강남구,청담동
청담어퍼하우스,강남구,청담동
청담우방아파트,강남구,청담동
청담자이,강남구,청담동
청담파라곤Ⅱ1단지,강남구,청담동
청담파라곤Ⅱ2단지,강남구,청담동
청담파크빌,강남구,청담동
청담포레,강남구,청담동
청담현대3차아파트,강남구,청담동
청담힐(에이동)진도(비동),강남구,청담동
한신오페라하우스,강남구,청담동
한신오페라하우스2차,강남구,청담동
현대빌라(43-1),강남구,청담동
현대아파트,강남구,청담동
현대아파트(75-1),강남구,청담동
현대한강빌라,강남구,청담동
호원빌라,강남구,청담동
효성빌라청담101(2차),강남구,청담동
효성빌라청담101(A동),강남구,청담동
효성빌라청담101(B동),강남구,청담동
휴먼스타빌,강남구,청담동
강동리버스트4단지,강동구,강일동
강동리버스트8단지,강동구,강일동
강일리버파크10단지,강동구,강일동
강일리버파크1단지,강동구,강일동
강일리버파크2단지,강동구,강일동
강일리버파크3단지,강동구,강일동
강일리버파크4단지,강동구,강일동
강일리버파크5단지,강동구,강일동
강일리버파크6단지,강동구,강일동
강일리버파크7단지,강동구,강일동
강일리버파크8단지,강동구,강일동
강일리버파크9단지,강동구,강일동
고덕리엔파크1단지,강동구,강일동
고덕리엔파크2단지,강동구,강일동
힐스테이트리슈빌강일,강동구,강일동
고덕 아이파크,강동구,고덕동
고덕그라시움,강동구,고덕동
고덕센트럴푸르지오,강동구,고덕동
고덕풍경채어바니티,강동구,고덕동
대우,강동구,고덕동
래미안힐스테이트고덕,강동구,고덕동
배재현대,강동구,고덕동
아남1,강동구,고덕동
SM드림빌,강동구,길동
SM빌,강동구,길동
SM해그린12차,강동구,길동
강동LG자이,강동구,길동
강동렘브란트,강동구,길동
강동역에스케이허브,강동구,길동
강동와이시티,강동구,길동
강동큐브,강동구,길동
강동큐브(2차),강동구,길동
강동한신휴플러스,강동구,길동
강동헤리티지자이,강동구,길동
거산유팰리스2차,강동구,길동
경지Arium,강동구,길동
골드클래스,강동구,길동
골든빌,강동구,길동
광남(355-2),강동구,길동
광남벨라스613V,강동구,길동
광남아파트102동,강동구,길동
광남캐스빌(247-0),강동구,길동
광남캐스빌(389-9),강동구,길동
광남캐스빌610V,강동구,길동
광남캐스빌아파트101동,강동구,길동
길동3차이룸,강동구,길동
길동다성이즈빌,강동구,길동
길동쎈스빌주상복합,강동구,길동
길동우성,강동구,길동
노블레스(383-8),강동구,길동
다성이즈빌,강동구,길동
다성이즈빌(349-1),강동구,길동
다성이즈빌(387-2),강동구,길동
다성이즈빌(387-4),강동구,길동
다성이즈빌(주상복합),강동구,길동
다성이즈빌아파트,강동구,길동
다성이즈빌아파트(388-4),강동구,길동
다성이즈텔,강동구,길동
다성팰리스,강동구,길동
다오아트빌,강동구,길동
대상,강동구,길동
도림씨티빌1,강동구,길동
동남아이스타즈,강동구,길동
동삼빌라트,강동구,길동
동서울오네뜨,강동구,길동
동심훼밀리,강동구,길동
라인,강동구,길동
메트로아파트,강동구,길동
문화1,강동구,길동
삼유스위트빌,강동구,길동
삼익세라믹,강동구,길동
삼익파크맨션,강동구,길동
서한베네치아,강동구,길동
시가오똠,강동구,길동
시가오똠에이동,강동구,길동
신대길파크하임,강동구,길동
신동아,강동구,길동
신동아4,강동구,길동
신세대빌라트,강동구,길동
신암,강동구,길동
신암가온,강동구,길동
양촌,강동구,길동
에스아이팰리스강동센텀I,강동구,길동
에스아이팰리스강동센텀Ⅱ,강동구,길동
에스엠이로빌,강동구,길동
에스엠이로빌(379-0),강동구,길동
에이치비골드빌(102동),강동구,길동
에이치비골드빌(103동),강동구,길동
엠엑스아뜨리에빌아파트,강동구,길동
엠프라자아파트(152-3),강동구,길동
엠프라자아파트(152-9),강동구,길동
예건타워빌,강동구,길동
예다움,강동구,길동
예전이룸1차,강동구,길동
예전이룸2차,강동구,길동
우림루미아트,강동구,길동
우성,강동구,길동
웅주아크로파크,강동구,길동
유덕휴먼빌,강동구,길동
율전에버그린아파트,강동구,길동
이스트드림힐,강동구,길동
이편한세상강동에코포레,강동구,길동
장인이즈빌,강동구,길동
주풍그린빌,강동구,길동
중앙하이츠강동,강동구,길동
청광플러스원(큐브1차),강동구,길동
청광플러스원큐브2차,강동구,길동
청광플러스원큐브3차,강동구,길동
청원파크빌2,강동구,길동
청원파크빌3,강동구,길동
태성,강동구,길동
태솔,강동구,길동
태천해오름18차,강동구,길동
태흥,강동구,길동
하나플러스,강동구,길동
하이브,강동구,길동
하이존,강동구,길동
한건,강동구,길동
한빛골드빌1차,강동구,길동
한솔브리즈,강동구,길동
한일시티타워(우성아트빌),강동구,길동
한전우성1,강동구,길동
해맞이비동,강동구,길동
해맞이에이동,강동구,길동
현대1,강동구,길동
현대웰하임(101동),강동구,길동
현대웰하임(201동),강동구,길동
형인허브빌아파트,강동구,길동
효성노바,강동구,길동
희훈리치파크1,강동구,길동
KNP이스트빌,강동구,둔촌동
KNP주상복합1,강동구,둔촌동
경방필하우스,강동구,둔촌동
광남아파트101동,강동구,둔촌동
광남아파트102동,강동구,둔촌동
광남캐스빌(631),강동구,둔촌동
광남캐스빌101동,강동구,둔촌동
광남캐스빌102동,강동구,둔촌동
광남캐스빌103동,강동구,둔촌동
광남캐스빌105동,강동구,둔촌동
그랜드1,강동구,둔촌동
노바,강동구,둔촌동
다원애버니아,강동구,둔촌동
더샵둔촌포레,강동구,둔촌동
더샵파크솔레이유,강동구,둔촌동
도원빌,강동구,둔촌동
동아,강동구,둔촌동
동호리츠빌,강동구,둔촌동
둔촌늘푸른,강동구,둔촌동
둔촌푸르지오,강동구,둔촌동
둔촌하이츠,강동구,둔촌동
둔촌현대수린나아파트,강동구,둔촌동
라이프101동(544)102동(544-1),강동구,둔촌동
미랜드퀸아파트101동,강동구,둔촌동
미랜드퀸아파트102동,강동구,둔촌동
상상프리,강동구,둔촌동
성원,강동구,둔촌동
세양청마루,강동구,둔촌동
신동아파밀리에,강동구,둔촌동
신성둔촌미소지움1,강동구,둔촌동
신성둔촌미소지움2,강동구,둔촌동
아인리베,강동구,둔촌동
암펠로스타워,강동구,둔촌동
올림픽파크포레온,강동구,둔촌동
월드메르디앙올림픽파크,강동구,둔촌동
율전에버그린,강동구,둔촌동
주풍그린빌라트,강동구,둔촌동
찬솔,강동구,둔촌동
청원파크빌,강동구,둔촌동
청호뜨레피움퍼스트아파트,강동구,둔촌동
초원동아,강동구,둔촌동
케이엔피로얄,강동구,둔촌동
태상아트빌,강동구,둔촌동
태천해오름,강동구,둔촌동
프라자,강동구,둔촌동
한솔,강동구,둔촌동
한솔솔파크,강동구,둔촌동
현대2,강동구,둔촌동
현대3,강동구,둔촌동
현대4,강동구,둔촌동
KNP,강동구,명일동
고덕삼환아파트,강동구,명일동
고덕주공9,강동구,명일동
다성씨티(1차),강동구,명일동
다성이즈빌(346-10),강동구,명일동
다성이즈빌(346-12),강동구,명일동
다성이즈빌(명일4차),강동구,명일동
동양타워,강동구,명일동
동은,강동구,명일동
동은그랜드,강동구,명일동
래미안솔베뉴,강동구,명일동
명일동다성이즈빌아파트,강동구,명일동
명일우성,강동구,명일동
명일지에스아파트,강동구,명일동
명일진로,강동구,명일동
삼보힐아파트,강동구,명일동
삼익가든,강동구,명일동
삼익그린11차,강동구,명일동
삼익그린2차,강동구,명일동
삼환,강동구,명일동
세비앙,강동구,명일동
